SENSOR-1  SENSOR-2  SENSOR-3  MAJORITY  ALARM  E-VALVE  RESET  ALARM-CNT
--------  --------  --------  --------  -----  -------  -----  ---------
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
UNDEF     NORMAL    NORMAL    NORMAL    --     --       --     0
UNDEF     NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    UNDEF     NORMAL    NORMAL    --     --       --     0
NORMAL    UNDEF     NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    UNDEF     NORMAL    --     --       --     0
NORMAL    NORMAL    UNDEF     NORMAL    --     --       --     0
UNDEF     UNDEF     NORMAL    UNDEF     --     --       --     0
UNDEF     UNDEF     NORMAL    UNDEF     ON     OPEN     --     1
UNDEF     UNDEF     NORMAL    UNDEF     ON     OPEN     ON     1
UNDEF     UNDEF     NORMAL    UNDEF     --     --       ON     1
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     1
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     1
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     1
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     1
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     1
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     1
HIGH      HIGH      HIGH      HIGH      --     --       --     1
HIGH      HIGH      HIGH      HIGH      ON     --       --     2
HIGH      HIGH      HIGH      HIGH      ON     --       --     2
HIGH      HIGH      HIGH      HIGH      ON     OPEN     --     2
HIGH      HIGH      HIGH      HIGH      ON     OPEN     --     2
HIGH      HIGH      HIGH      HIGH      ON     OPEN     --     2
HIGH      HIGH      HIGH      HIGH      ON     OPEN     --     2
HIGH      HIGH      HIGH      HIGH      ON     OPEN     --     2
NORMAL    NORMAL    NORMAL    NORMAL    ON     OPEN     --     2
NORMAL    NORMAL    NORMAL    NORMAL    ON     OPEN     --     2
NORMAL    NORMAL    NORMAL    NORMAL    ON     OPEN     --     2
NORMAL    NORMAL    NORMAL    NORMAL    ON     OPEN     --     2
CRITICAL  CRITICAL  CRITICAL  CRITICAL  ON     OPEN     --     2
CRITICAL  CRITICAL  CRITICAL  CRITICAL  ON     OPEN     --     2
CRITICAL  CRITICAL  CRITICAL  CRITICAL  ON     OPEN     ON     2
CRITICAL  CRITICAL  CRITICAL  CRITICAL  --     --       ON     2
HIGH      HIGH      HIGH      HIGH      --     --       --     2
HIGH      HIGH      HIGH      HIGH      ON     --       --     3
HIGH      HIGH      HIGH      HIGH      ON     --       --     3
HIGH      HIGH      HIGH      HIGH      ON     OPEN     --     3
NORMAL    NORMAL    NORMAL    NORMAL    ON     OPEN     --     3
NORMAL    NORMAL    NORMAL    NORMAL    ON     OPEN     --     3
NORMAL    NORMAL    NORMAL    NORMAL    ON     OPEN     --     3
NORMAL    NORMAL    NORMAL    NORMAL    ON     OPEN     --     3
